First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance, Password, Email,Credit Max
Laura,Blanco,"November 27,  1947",64,"500 W. University Ave, El Paso, TX 79968",9157475027,1063,2063,3063,1409.83,4980.68,-1728.0,Blanco*Laura!987,LauraBlanco@disney.com,8324.0
Yulianna,Torres,"June 4,  1953",75,"500 W. University Ave, El Paso, TX 79968",9157475038,1074,2074,3074,156.48,263.76,-1589.04,Torres*Yulianna!987,YuliannaTorres@disney.com,3662.0
Cruella,De Vil,"March 28,  1962",22,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1021,2021,3021,1578.91,3934.52,-1145.01,De Vil*Cruella!987,CruellaDe Vil@disney.com,8983.0
Beast,Disney,"January 25,  1944",20,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1019,2019,3019,1055.27,2723.58,-1415.03,Disney*Beast!987,BeastDisney@disney.com,8133.0
Stitch,Disney,"March 4,  1987",36,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1035,2035,3035,1368.49,727.62,-91.13,Disney*Stitch!987,StitchDisney@disney.com,6113.0
Simba,King,"December 15,  1983",24,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1023,2023,3023,1291.34,756.92,-782.42,King*Simba!987,SimbaKing@disney.com,9184.0
Daniel,N,"April 11,  1942",91,"500 W. University Ave, El Paso, TX 79968",9157475054,1090,2090,3090,1016.8,2149.51,-716.7,N*Daniel!987,DanielN@disney.com,4975.0
Chip,Disney,"October 28,  1965",6,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1005,2005,3005,1137.71,4882.06,-1526.55,Disney*Chip!987,ChipDisney@disney.com,5881.0
Jose,Rodriguez Ortega,"March 6,  1989",59,"500 W. University Ave, El Paso, TX 79968",9157475022,1058,2058,3058,382.42,1369.33,-1946.74,Rodriguez Ortega*Jose!987,JoseRodriguez Ortega@disney.com,4464.0
Daniel,H,"July 11,  1982",86,"500 W. University Ave, El Paso, TX 79968",9157475049,1085,2085,3085,1615.38,2505.64,-366.29,H*Daniel!987,DanielH@disney.com,5450.0
David,Baptiste,"June 9,  1946",48,"500 W. University Ave, El Paso, TX 79968",9157475011,1047,2047,3047,1517.41,2516.98,-1982.26,Baptiste*David!987,DavidBaptiste@disney.com,4542.0
Dafne,Bencomo,"April 6,  1984",47,"500 W. University Ave, El Paso, TX 79968",9157475010,1046,2046,3046,1968.81,3443.4,-282.9,Bencomo*Dafne!987,DafneBencomo@disney.com,5986.0
Joseph,Medina - Sandoval,"August 27,  1955",60,"500 W. University Ave, El Paso, TX 79968",9157475023,1059,2059,3059,725.73,1400.78,-38.33,Medina - Sandoval*Joseph!987,JosephMedina - Sandoval@disney.com,9258.0
Daniel,Q,"October 1,  2001",94,"500 W. University Ave, El Paso, TX 79968",9157475057,1093,2093,3093,1427.95,2453.7,-731.09,Q*Daniel!987,DanielQ@disney.com,5752.0
Daniel,V,"July 27,  1944",99,"500 W. University Ave, El Paso, TX 79968",9157475062,1098,2098,3098,841.92,3651.41,-1721.86,V*Daniel!987,DanielV@disney.com,6221.0
Buzz,Lightyear,"January 25,  1931",17,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1016,2016,3016,1732.99,3682.66,-1205.03,Lightyear*Buzz!987,BuzzLightyear@disney.com,3281.0
Scar,Lion,"December 20,  1957",23,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1022,2022,3022,1928.48,481.37,-1140.91,Lion*Scar!987,ScarLion@disney.com,4650.0
Lilo,Disney,"August 22,  2013",35,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1034,2034,3034,1448.11,2510.13,-1737.07,Disney*Lilo!987,LiloDisney@disney.com,7428.0
Estevan,Ramos,"October 18,  1969",52,"500 W. University Ave, El Paso, TX 79968",9157475015,1051,2051,3051,768.89,7.97,-1728.89,Ramos*Estevan!987,EstevanRamos@disney.com,3289.0
Mulan,Disney,"October 1,  1970",34,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1033,2033,3033,823.82,254.44,-197.46,Disney*Mulan!987,MulanDisney@disney.com,7946.0
Juan,Gutierrez,"September 3,  1971",61,"500 W. University Ave, El Paso, TX 79968",9157475024,1060,2060,3060,1296.11,3349.49,-1561.53,Gutierrez*Juan!987,JuanGutierrez@disney.com,9494.0
Judith,Garcia,"June 21,  1971",63,"500 W. University Ave, El Paso, TX 79968",9157475026,1062,2062,3062,610.64,1412.89,-764.0,Garcia*Judith!987,JudithGarcia@disney.com,6023.0
Simba,Disney,"September 13,  1987",12,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1011,2011,3011,1540.26,4728.96,-1912.0,Disney*Simba!987,SimbaDisney@disney.com,3789.0
Jasmine,Disney,"August 12,  1987",10,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1009,2009,3009,1371.09,2621.87,-1163.2,Disney*Jasmine!987,JasmineDisney@disney.com,5310.0
Cinderella,Disney,"April 24,  2019",8,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1007,2007,3007,923.35,4401.91,-626.65,Disney*Cinderella!987,CinderellaDisney@disney.com,4870.0
Isaiah,Landin,"May 21,  2009",58,"500 W. University Ave, El Paso, TX 79968",9157475021,1057,2057,3057,393.56,2289.13,-648.02,Landin*Isaiah!987,IsaiahLandin@disney.com,8601.0
Pluto,Disney,"June 10,  1993",5,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1004,2004,3004,370.62,4140.15,-313.08,Disney*Pluto!987,PlutoDisney@disney.com,6118.0
Manuel,Ruvalcaba,"December 25,  1993",68,"500 W. University Ave, El Paso, TX 79968",9157475031,1067,2067,3067,680.64,2131.08,-314.17,Ruvalcaba*Manuel!987,ManuelRuvalcaba@disney.com,7474.0
Daniel,X,"June 29,  2003",101,"500 W. University Ave, El Paso, TX 79968",9157475064,1100,2100,3100,1244.07,534.43,-506.23,X*Daniel!987,DanielX@disney.com,6226.0
Daniel,E,"February 23,  1991",83,"500 W. University Ave, El Paso, TX 79968",9157475046,1082,2082,3082,818.28,2738.27,-1854.01,E*Daniel!987,DanielE@disney.com,9370.0
Gildardo,Orea,"September 17,  2017",55,"500 W. University Ave, El Paso, TX 79968",9157475018,1054,2054,3054,998.21,3656.15,-1651.12,Orea*Gildardo!987,GildardoOrea@disney.com,6218.0
Alfredo,Rodriguez,"May 13,  1965",40,"500 W. University Ave, El Paso, TX 79968",9157475003,1039,2039,3039,1799.85,3080.82,-519.11,Rodriguez*Alfredo!987,AlfredoRodriguez@disney.com,4559.0
Daniel,F,"March 13,  2005",84,"500 W. University Ave, El Paso, TX 79968",9157475047,1083,2083,3083,599.65,2848.19,-453.44,F*Daniel!987,DanielF@disney.com,6273.0
Shere,Khan,"June 21,  1997",26,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1025,2025,3025,1901.78,4054.58,-241.58,Khan*Shere!987,ShereKhan@disney.com,5698.0
Christopher,Reyes,"August 21,  1993",46,"500 W. University Ave, El Paso, TX 79968",9157475009,1045,2045,3045,726.32,597.8,-1926.88,Reyes*Christopher!987,ChristopherReyes@disney.com,6269.0
Brandon,Bustamante,"July 5,  2006",44,"500 W. University Ave, El Paso, TX 79968",9157475007,1043,2043,3043,1626.2,364.38,-1999.64,Bustamante*Brandon!987,BrandonBustamante@disney.com,4685.0
Oscar,Decena,"July 23,  1928",71,"500 W. University Ave, El Paso, TX 79968",9157475034,1070,2070,3070,255.25,1436.44,-1522.57,Decena*Oscar!987,OscarDecena@disney.com,6832.0
Juan,Rabelo,"February 5,  1944",62,"500 W. University Ave, El Paso, TX 79968",9157475025,1061,2061,3061,1296.87,1657.81,-1936.56,Rabelo*Juan!987,JuanRabelo@disney.com,8306.0
Goofy,Disney,"December 8,  1968",4,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1003,2003,3003,1765.58,4018.17,-208.05,Disney*Goofy!987,GoofyDisney@disney.com,4961.0
Daniel,O,"November 6,  1979",92,"500 W. University Ave, El Paso, TX 79968",9157475055,1091,2091,3091,140.53,1335.0,-602.69,O*Daniel!987,DanielO@disney.com,8467.0
Ervey,Montes,"September 23,  1956",51,"500 W. University Ave, El Paso, TX 79968",9157475014,1050,2050,3050,265.1,3838.72,-430.1,Montes*Ervey!987,ErveyMontes@disney.com,7928.0
Roberto,Carrasco,"September 15,  1940",73,"500 W. University Ave, El Paso, TX 79968",9157475036,1072,2072,3072,141.08,1423.99,-1101.52,Carrasco*Roberto!987,RobertoCarrasco@disney.com,7847.0
Belle,Disney,"July 5,  1943",21,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1020,2020,3020,581.63,1417.08,-1608.53,Disney*Belle!987,BelleDisney@disney.com,9463.0
Alex,Avila,"January 15,  2010",38,"500 W. University Ave, El Paso, TX 79968",9157475001,1037,2037,3037,1471.94,4690.72,-1811.46,Avila*Alex!987,AlexAvila@disney.com,7742.0
Gaston,Disney,"May 12,  1953",25,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1024,2024,3024,1327.54,4406.12,-936.19,Disney*Gaston!987,GastonDisney@disney.com,6665.0
Derek,Aguirre,"September 3,  1962",49,"500 W. University Ave, El Paso, TX 79968",9157475012,1048,2048,3048,676.64,328.0,-399.67,Aguirre*Derek!987,DerekAguirre@disney.com,5092.0
Ariel,Disney,"August 6,  1946",9,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1008,2008,3008,320.83,3156.59,-1307.98,Disney*Ariel!987,ArielDisney@disney.com,5176.0
Daniel,U,"September 23,  1986",98,"500 W. University Ave, El Paso, TX 79968",9157475061,1097,2097,3097,1875.61,284.66,-1963.67,U*Daniel!987,DanielU@disney.com,4959.0
Daniel,R,"July 14,  1958",95,"500 W. University Ave, El Paso, TX 79968",9157475058,1094,2094,3094,46.94,3708.68,-1805.86,R*Daniel!987,DanielR@disney.com,9724.0
Daniel,Y,"November 29,  1958",102,"500 W. University Ave, El Paso, TX 79968",9157475065,1101,2101,3101,1724.81,3906.71,-1945.53,Y*Daniel!987,DanielY@disney.com,9499.0
Mickey,Mouse,"July 21,  1941",1,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1000,2000,3000,2854.17,3940.92,-1132.03,Mouse*Mickey!987,MickeyMouse@disney.com,5122.0
Gavin,Baechle,"September 2,  1971",54,"500 W. University Ave, El Paso, TX 79968",9157475017,1053,2053,3053,1143.11,92.26,-157.78,Baechle*Gavin!987,GavinBaechle@disney.com,6016.0
Alfonso,Beltran,"August 4,  1967",39,"500 W. University Ave, El Paso, TX 79968",9157475002,1038,2038,3038,1068.87,3888.01,-80.83,Beltran*Alfonso!987,AlfonsoBeltran@disney.com,4511.0
Arae,Zarzosa,"May 3,  1975",43,"500 W. University Ave, El Paso, TX 79968",9157475006,1042,2042,3042,306.36,2663.39,-11.67,Zarzosa*Arae!987,AraeZarzosa@disney.com,7499.0
Daniel,C,"April 17,  1997",81,"500 W. University Ave, El Paso, TX 79968",9157475044,1080,2080,3080,250.05,557.56,-1910.77,C*Daniel!987,DanielC@disney.com,5016.0
Pinocchio,Disney,"April 2,  1983",30,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1029,2029,3029,521.46,2450.4,-1643.23,Disney*Pinocchio!987,PinocchioDisney@disney.com,3516.0
Daniel,W,"February 4,  1989",100,"500 W. University Ave, El Paso, TX 79968",9157475063,1099,2099,3099,479.43,3165.21,-1249.36,W*Daniel!987,DanielW@disney.com,8041.0
Alberto,Miranda,"November 17,  1930",37,"500 W. University Ave, El Paso, TX 79968",9157475000,1036,2036,3036,328.97,4344.77,-589.8,Miranda*Alberto!987,AlbertoMiranda@disney.com,5916.0
Quasimodo,Disney,"August 16,  1944",32,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1031,2031,3031,1455.23,4389.41,-755.12,Disney*Quasimodo!987,QuasimodoDisney@disney.com,4598.0
asd,asdf,"21",104,"f",1,0,2103,0,0.0,45.0,0.0,a,f,5000.0
